Accounts Payable,应付账款,
Accounts Receivable,应收账款,
Actual Qty,实际库存,
BOM,物料清单,
Bank Reconciliation,银行对账,
Bill of Materials,物料清单,
Credit Note,贷项通知单,
Delivery Note,销售出库单,
Delivery Note Item,销售出库单明细,
General Ledger,总账,
General Ledger,总账,Warehouse
Include Item In Manufacturing,纳入生产用料,
Incoming Rate,入库单价,
Item Group,物料组,
Item Name,物料名称,
Item Tax Template,物料税费模板,
Job Card,工序作业单,
Journal Entry,记账凭证,
Lead,线索,
Material Receipt,其他入库,
Material Request,物料需求单,
Material Request Type,物料需求类型,
Material Transfer,库存调拨,
Material Transfer for Manufacture,生产领料,
Operation,工序,
Opportunity,商机,
Outstanding Amount,未清金额,
Payment Entry,收付款单,
Period Closing Voucher,期末结账凭证,
Pick List,拣货单,
Profit and Loss Statement,利润表,
Projected Qty,预计库存,
Purchase Invoice,采购发票,
Purchase Receipt,采购入库单,
Quality Inspection,质量检验单,
Quotation,销售报价单,
Request for Quotation,询价单,
Routing,工艺路线,
Sales Invoice,销售发票,
Send to Subcontractor,委外发料,
Stock Entry,库存单据,
Stock Entry Detail,库存单据明细,
Stock Entry Type,库存业务类型,
Stock Ledger,库存台账,
Stock Ledger Entry,库存台账明细,
Stock Reconciliation,库存盘点单,
Stock Reposting,库存重算,
Subcontracting Order,委外订单,
Subcontracting Receipt,委外入库单,
Supplier Quotation,供应商报价单,
To Bill,待开票,
To Deliver,待发货,
To Deliver and Bill,待发货和开票,
Trial Balance,科目余额表,
Valuation Rate,估值单价,
Work Order,生产工单,
Work Order Item,生产工单明细,
Workstation,工作中心,
Write Off,核销,
